TWEETS	SENTIMENTS
@BWI_Airport, #TSAPreCheck and @SouthwestAir are a great combination. Easy come, easy go.	positive
RT @MikeSirois: Some little kid on this @SouthwestAir flight just walked onboard and handed the captain printed directions from PHX to DAL …	neutral
Some little kid on this @SouthwestAir flight just walked onboard and handed the captain printed directions from PHX to DAL with a wink.	neutral
@SouthwestAir Any info on flights delayed out of Indy? I'm going to miss my dinner in Orlando! 5pm departure got bumped to 7:50pm. 😩	negative
Congrats @SouthwestAir for bringing HOU first international flight since 1960s. Exciting growth! Awesome team!  http://t.co/SDJguCz1Dy	positive
RT @SouthwestAir: Being on a first Southwest flight is special for a lot of reasons. See for yourself: http://t.co/7IMy9ppjNG	positive
Gotta say, an outstanding cabin crew today on flight 4929 to PDX. Thx @SouthwestAir	positive
@SouthwestAir DM sent...thanks again for quick communication.	positive
@hipMarsh @OlHippyTCF @SouthwestAir @4everfosters Yep, I'm with Marcia on this one :)	positive
Boy, this #CostaRica #volcano action sure is something! What do you think, @SouthwestAir are we going to be able to fly home tomorrow?	neutral
Two of my favorite things - donuts &amp; @SouthwestAir! Happy to see @UnionSqDonuts featured in SW's in-flight magazine! http://t.co/fXpCusvTjA	positive
Absolutely, @SouthwestAir. Thanks in advance for any help...	positive
STORY: @SouthwestAir Receives Approval For New @HoustonHobby International Flightshttp://t.co/WXPRvdGaCR http://t.co/8rTRUjUzl5	positive
STORY: @SouthwestAir Receives Approval For New @HoustonHobby International Flightshttp://t.co/i87QOlOuvD http://t.co/84c0cTZvtb	positive
sweet genius flying @SouthwestAir is like flying on a train #AMAZING	negative
RT @MakeAWish: A wish mom shares her family’s story about their connection to @SouthwestAir and Make-A-Wish. http://t.co/MQznh7z9nI	neutral
@SouthwestAir Wifi on today LAX-PHX-AUS has been worse than dial-up circa 1995! Lost $8 = oh well. Lost productivity = priceless.	negative
Hey @SouthwestAir - The only thing your in-flight internet is able to load is the page that charged me $8 for this crummy internet. #refund	negative
@SouthwestAir why is flight 194 den to Kansas City delayed? 4:55 to 6:20 :(	negative
@hliveng @SouthwestAir 🙌	neutral
RT @SouthwestAir: Heart and skill. Period. http://t.co/QxvHgM01G0#InternationalWomensDay http://t.co/rFYmRsnftt	neutral
RT @SouthwestAir: Batter up! Enter for your chance to win a trip to Phoenix for #SpringTraining: http://t.co/l2bB88RQtn http://t.co/RYjujX2…	neutral
RT @SouthwestAir: Need a vacation? Save up to $200 w/a flight + hotel package from Southwest Vacations: http://t.co/zleTBgI6Ft http://t.co/…	neutral
RT @SouthwestAir: See where we take the winning chefs of @hellskitchenfox tonight 8 EST via free live tv on WiFi-enabled flights. Hint: htt…	neutral
RT @SouthwestAir: We’re getting Guillermo to #KimmelinAustin! Check out @JimmyKimmelLive from Austin weeknights at 11:35/10:35c on ABC. htt…	neutral
RT @sillydrunkfish: A coffeenoon with @KiplingMonkey @KiplingUSA #work #tgif #lifeisbeautiful  #coffee @HyattTimeSquare @SouthwestAir http:…	neutral
being able to switch flights without a service change is a blessing...thank you @SouthwestAir! always a great time flying with you!	positive
@SouthwestAir have math prob I'd be grateful for you to solveFlight cred exp date 7/17/15Round trip dates 7/24-7/27/15Please help extend?	positive
By far the most entertaining head flight attendant I've ever had on a @SouthwestAir flight.	positive
@JohnThompsonFL @NikkiRossInda In fact part of me wonders how many tweets must go out before they reply. Is @SouthwestAir paying attention?	negative
On my way to Memphis! Free flights with my @SouthwestAir Rapid Rewards card! #travel	neutral
@JohnThompsonFL @NikkiRossInda I spoke with an agent @SouthwestAir in "Customer Relations" no less. Couldn't believe how dismissive she was.	negative
@JohnThompsonFL @NikkiRossInda @SouthwestAir Unfortunately I don't know if that's an excuse -- @Delta is ROCKING right now.This was a people	negative
RT @FiveThirtyEight: Here's a corrected chart with a new record for @SouthwestAir and listing for @USAirways: http://t.co/cZjchlPlEK http:/…	neutral
@SouthwestAir Thanks for the flawless trip from ALB to SEA this morning. Ben the flight attendant was hilarious. Please give him a raise.	positive
@SouthwestAir I understand pre board but you should do them after A1-15 if you truly take care of your Business Class Customers. #IMO	neutral
RT @aviationpathway: Join us on April 8 to hear keynote speaker Howard Putnam, former @SouthwestAir CEO. http://t.co/j84DCJbQyl #aviation #…	neutral
Great service @Marriott again on this trip to BNA. Same for @Hertz @SouthwestAir - except for mgrs spcl car #spark? http://t.co/KCk8GYQo2M	positive
@SouthwestAir  thanks	positive
Flight down to Florida delayed from 530 till 810. Thanks @SouthwestAir	negative
Thanks @SouthwestAir for ripping my bag! Just what I wanted! Thank goodness my job is literally sewing...	negative
@SouthwestAir I dont really know what can be done.. don't think @UbiWorkshop makes them any more but I dmd :(	negative
@SouthwestAir hi! I just booked travel and there is a typo on my girlfriend's last name- "Cortas" instead of "Cortes" how do I fix? Thanks!	neutral
@PhilOReilly86 sending positive vibes your way from up the street via @SouthwestAir #Tampa :) http://t.co/nKd1cISGcp	positive
We flew @SouthwestAir for a funeral on Mon--unexpected flight to Norfolk with a 1 day turn around,a lost i.d. and a missed flight.#adventure	negative
On board the @SouthwestAir #springtrainingexpress with the crew @SteveGarvey6 @AM570RADIO  @Lauraquin3 #phoenixbound http://t.co/QZkkA3GU9g	neutral
@jonathonfeit I have faith in @SouthwestAir, to get it right for you. Awesome business model and engaged CEO, Gary Kelly. What is ur issue?	positive
I'd have to be drunk to eat your guys shitty food @SouthwestAir am I right? @DierksBentley	negative
I never fly @SouthwestAir -I'm a dedicated @Delta girl--but they located my daughter's lost passport. *\o/* Thanks!! #SouthwestAirlines	positive
@SouthwestAir Why is flight #171 from Denver to Raleigh delayed?	neutral
@jonathonfeit @NikkiRossInda I don't believe things are widespread bad. @SouthwestAir just completed huge merge w/AirTran. They are bigger.	neutral
@SouthwestAir first you tell me I will get a refund in 7-10 days, now 14 days later your telling me it could be a month? #NOTokay	negative
@SouthwestAir this is a southwest kid!share the love! http://t.co/OycDANQQfx	positive
@Dchandler3 if youre flyin @SouthwestAir you get free drinks.	positive
Here's Jeff Salkin talking with @SouthwestAir CEO Gary Kelly recently about the carrier's expansion plans http://t.co/ofqsTZtVv0 #Flights	neutral
One of these days I'll pay for @SouthwestAir wifi and it will actually work. Lost a whole workday yesterday.	negative
@SouthwestAir yes. The gate agent was great but took some explaining &amp; passengers held up behind me were grumbling. Thanks for following up.	positive
@JohnThompsonFL @SouthwestAir @NikkiRossInda Unfortunately I've had "uncharacteristically" horrible experience too. Things just getting BAD?	negative
@SouthwestAir not disappointed. I'd just suggest tightening up security with info that isn't easily acquired in this information rich world.	positive
Never flying @SouthwestAir again. Turned a 5 hour trip into 10 hours with two cancellations and a delay	negative
Just had the best flight! Awesome staff! Will be using southwest more! Thanks @SouthwestAir #awesomeflight	positive
@axlrose did you fly @SouthwestAir today?	neutral
@JenniferJAG @msneil @SouthwestAir @anngaff ain't he a hoot?! mbut i'm a lil biased #mikessister	negative
Crazy LA Dodgers flight! @SouthwestAir #springtrainingexpress http://t.co/5cTY4kZOzQ	neutral
@SouthwestAir yes, they took good care of me here in Tucson.	positive
@SouthwestAir Love flying with you guys, but asking for relatively public info (DOB and address) doesn't help much with "security purposes."	positive
Always in time @SouthwestAir well done once again.	positive
Sweet Scimitar Winglets on @SouthwestAir @BoeingAirplanes #738NG at STL #avgeek http://t.co/SE0rzBfHiR	positive
Thanks @SouthwestAir for ruining my limited edition assassin's creed hoodie :( :( your chair stabbed me. I'm sad :( http://t.co/3Lgb8nAmBX	negative
@southwestair flights out of SJO can you help rebook	neutral
We used to study $LUV @SouthwestAir as an example of a mission-driven company. I'm incredibly disheartened to find that spirit has devolved.	negative
. @SouthwestAir #springtrainingexpress @Dodgers I'm in heaven http://t.co/6B2zhuLspQ	positive
@SouthwestAir I'm incredibly disappointed to discover that $LUV has become just a ticker symbol. When did they stop caring about customers?	negative
This is your fault @SouthwestAir http://t.co/IPakM3n5Oo	negative
@SilverEaglePVL @SouthwestAir Yep.	neutral
@chuckgose @SouthwestAir Have you tried @thiswifisucks? Download on the App Store now http://t.co/AcaSwktsB7	neutral
Apparently @southwestair doesn't know who is on their planes. I hope the FAA does an inquiry! http://t.co/Rtudh3S0q0	negative
@SouthwestAir Oakland	neutral
@SouthwestAir your gate agents are not friendly or helpful in the #STL airport. Got 2 stand in security for 45 mins not sure if I would fly	negative
Yes, I'm going to complain about WiFi on planes. @SouthwestAir's is only good for text/messaging. Save the $8 and buy the $2 option.	negative
Flying In Luxury On The New Virgin Atlantic 787 Dreamliner http://t.co/QEGsPOXsSN via @forbes @VirginAtlantic #dreamliner #travel	neutral
Hello London thanks @VirginAtlantic http://t.co/eE4QTgJ3qr	positive
any other airlines do this? @VirginAtlantic do you? @lufthansa  ? @AirCanada @emirates anyone else or is it just BA?	neutral
The only airline to have Wi-Fi everyday between #delhi and #london @VirginAtlantic #B787 #beatthat #avgeeks #India #aviation #super	positive
@VirginAtlantic Just travelled on VirAmer. Was able to book seats. This is another cynical ploy to coerce loyal customers into paying more.	negative
@VirginAtlantic I tweeted last week and someone said once they find out my query they will get back to me. I haven't heard anything :(	negative
@VirginAtlantic Ok! Well i very much hope when i go to check in i get my seats i paid for!?!	negative
@Dazz747 @VirginAtlantic @ABZ_Airport @HeathrowAirport where wad this picture taken from	neutral
@VirginAtlantic Just booked flight. Charged $40 to book a normal seat. Absolutely outrageous!! Am frequent flyer: reconsidering! #disgusted	negative
@VirginAtlantic flying Delta BusElite next wk thru Term 3. Do I need to reserve UC Wing car check in if I'm arriving 4 hr early.	neutral
@VirginAtlantic I already have done but I thought I'd be cheeky and see if you'd spill the beans. ;)Have a nice evening :) x	neutral
I have a flight home at 8 PM and @VirginAtlantic won't let me check in online. *sigh*	negative
@VirginAtlantic knows how to build an army of brand advocates #brandarmy @sxsw	neutral
@VirginAtlantic Hi, any idea when Virgin Gatwick fleet will be recruiting again? Thank you :)	neutral
@VirginAtlantic I know they are different terminals, we will have bags Toyota offer a connecting bag service with ba?	neutral
If @VirginAtlantic lands @Gatwick_Airport 09:10 &amp; @British_Airways depart 10:40 is that enough time?	neutral
@VirginAtlantic  in upper to Newark on 9.40am tmrw. I'll volunteer to move to ATL flight if u need seat, as that's my final destination :)	positive
The Next Generation of Flyers &amp; Engineers @VirginAtlantic @f_flyers2015 http://t.co/6RRgBHIkbz http://t.co/1oOWSnmi2c	neutral
RT @Dazz747: .@VirginAtlantic Airbus A320-214 EI-EZW departing @ABZ_Airport for @HeathrowAirport on the 7/3/15 #LittleRed #avgeek http://t.…	neutral
Flying to Orlando tomorrow with my fiance with @VirginAtlantic  any chance of an upgrade 😂 #DontAskDontGet #RockStarTreatment	neutral
Yay got to stretch over two seats on my @VirginAtlantic VS251 #flight from #Shanghai to @HeathrowAirport - feeling good ;-)	positive
.@VirginAtlantic Airbus A320-214 EI-EZW departing @ABZ_Airport for @HeathrowAirport on the 7/3/15 #LittleRed #avgeek http://t.co/z5kuMJXlAf	neutral
The Job_Aviation Daily is out! http://t.co/ochKKAUsVm Stories via @DellGmbH @VirginAtlantic	neutral
@VirginAtlantic No problem. My Dad is in hospital so the USA can wait.......and obviously when we go again it will be with you guys.	positive
RT @Kiinqtonq: Thank you @virginatlantic 😭😭😭😭 http://t.co/Aa6eZeqh15	positive
@VirginAtlantic can i get another luggage tag for my hand luggage?	neutral
Coach booked to get the Harwich for our @VirginAtlantic flight to Orlando #VRoomGatwick we are comin for ya! 😃󾓦	neutral
@VirginAtlantic can get there earlier ...	neutral
@VirginAtlantic will we be able to check in online this time ? Or will we have to check on at the airport ? Would be nice to know so we can	neutral
@VirginAtlantic ok will the same happen flying home as it didn't make for a very good start to our honeymoon !!	negative
@VirginAtlantic OK thanks! do i have to carry the other card with me when i travel though?	neutral
@VirginAtlantic silly question, i have a VS silver card, am i meant to stick the luggage card one on hand baggage or check in baggage?	neutral
@VirginAtlantic  ok il try that thank you	neutral
RT @VirginAtlantic: Pack your perfect bag and you might be jetting off sooner than you think… visit http://t.co/8y3iVxg2Uc #Letitfly http:/…	neutral
@VirginAtlantic somebody needs to read your t&amp;c's and make sure your all singing from the same hymn sheet (2)	neutral
Angela Bassett was on my @VirginAtlantic flight - classiest 56 yr old evs. 💅	neutral
@VirginAtlantic interesting your seating policy states - 1st come 1st served. No mention of seats saved for potential infant boarders. (1)	negative
@EnergyResolvers @solarimpulse @solar_org @SolarWineFarm @virgingalactic @VirginAmerica @VirginAtlantic @VirginAustralia @richardbranson	neutral
All booked @VirginAtlantic. Next time maybe @British_Airways...	neutral
Very smooth check in with @VirginAtlantic up to Edinburgh! And no extra fees #result :)	positive
@VirginAtlantic  hi guys, how far back can I claim air miles? And can I do it via the website? I couldn't see an option to	neutral
@VirginAtlantic: Pack your perfect bag and you might be jetting off sooner than you think… visit http://t.co/SsfPc1UlaE I wish...😆 @VirginAtlantic wheres the link to enter after watching the video????  used both chrome and Internet explorer but no link?	neutral
@mkriak @rmward @KendallOstrow @Delta definitely should have switched to that flight when I had the chance.	negative
FYI @Delta, your best flight attendant is the retired Sea Bee dude who served 1st Class on DL 0522 SLC -&gt; CLT on 3/9/2015. Bravo dude.	negative
Pre flight brunch at lax before taking the @Delta uta party plane + view from back #sxsw here we come! http://t.co/MCs6jh1CCe	neutral
Thanks @Delta for the upgrade to DeltaOne on my BRU to JFK flight as well as getting me on earlier flight home to @FlyTPA	positive
Maybe. RT @mwurst: No. RT @TravlandLeisure: .@Delta's party plane to #SXSW Are you on it? http://t.co/ja11i5Lklp http://t.co/0OkatPEZVk”	neutral
RT @mwurst: No. RT @TravlandLeisure: .@Delta's party plane to #SXSW departs in 5 mins. Are you on it? http://t.co/aFzAPYlLop http://t.co/EM…	neutral
|LIVE NOW| #deltafestivalshuttle @delta boarding #SXSW #meerkat http://t.co/TZ5Y1UQHnv	neutral
No. RT @TravlandLeisure: .@Delta's party plane to #SXSW departs in 5 mins. Are you on it? http://t.co/aFzAPYlLop http://t.co/EMQH5u3hUb	neutral
@USAirways yes, I would love a $300 travel voucher to give up my seat. Can you make sure that voucher is for @Delta and not @USAirways	neutral
@TravlandLeisure @Delta unfortunately not! Wahhhhhhh😱😢😂😭😭😭😭😭	neutral
RT @mkriak: Hey @KendallOstrow !! @rmward and I are comin to get ya! #DeltaFestivalShuttle @delta http://t.co/K7qOxANYsm	neutral
That is sweet “@TravlandLeisure: @Delta party plane 2 #SXSW departs in 5 mins. Are you on it? http://t.co/uaHvXlMaII http://t.co/t3rZxPKenx”	positive
.@Delta's party plane to #SXSW departs in 5 mins. Are you on it? http://t.co/JmhAPBitKp http://t.co/asmecn1Iex	neutral
Antarctica Bound. #7thContinent @WWF @NatHab @Delta #LiveYourDreams http://t.co/CgoG579aS5	neutral
@nyknicks @Delta #NYKvsLALandrea	neutral
@nyknicks @Delta who are these fools. should be demoted to the D-League with Philly.. even Minny has a more respectable roster.	negative
Hey @KendallOstrow !! @rmward and I are comin to get ya! #DeltaFestivalShuttle @delta http://t.co/K7qOxANYsm	neutral
Bumpy flight home to NYC. Flight attendant sees my face and automatically comes with more wine. @Delta you're great right now!	positive
@nyknicks @Delta #noonecares	negative
Did you know @Delta has @GoGo Wi-Fi on many US-Europe flights now? I tried it, here's how it went. http://t.co/SoteUzGhVR	positive
@delta left my rain coat on my flight to Bangkok. How can I get it back?	neutral
@hblevins @Delta Yes! If the CORP suites would not keep trashing the FF program #Delta would be unstoppable &amp; best airline on the planet!	positive
@DeltaPoints as always @delta front line are the best! If only Corp loved us like LHR Red Coat Laura! http://t.co/cDTFTWiP4T	positive
RT @Delta: This month, push your boundaries and share your most innovative, original #PhotogInFlight shots. http://t.co/pPXDmuQdCD	neutral
MASCARA ALERT!!! @Delta baggage handlers formed an honor guard for an US military member + K9 that died in combat: http://t.co/a6EDXyYPUB	positive
@delta kudos to you for the #professional way your #team handled an unruly flyer on DL1798 today! Great #Cx Great #Crew  #OnTimeFlight	positive
@Delta #photoinflight on approach to JFK http://t.co/WEYLDnxtrM	neutral
RT @AmericanAir: Traveling to Costa Rica? We have flexibility options available due to the volcano:  http://t.co/sb5hHYzm05	neutral
LOL. RT @AmericanAir: Traveling to Costa Rica? We have flexibility options available due to the volcano:  http://t.co/Wc9txkGZfS	neutral
“@spencerspellman: #Sunrise over #Ireland from in the air on @AmericanAir for today's Irish-themed #FriFotos http://t.co/ZyKjOzHLCP”#Eire	neutral
RT @SportsSturm: American Airlines early effort. @AmericanAir http://t.co/X5mnhLHgCN	neutral
RT @AmericanAir: In the next 30 days, Dividend Miles &amp; #AAdvantage programs will combine. Here's what to know: http://t.co/YNgkRtGhUS http:…	neutral
@AmericanAir 3 days in a row now experiencing technical difficulties... #failurex3	negative
@AmericanAir bummer it looks like aa2941 to dayton is late. Any thoughts on holding aa111 at chicago?	negative
RT @AmericanAir: Dividend Miles award bookings will not be available a few days before programs combine, book travel now.Learn more: http…	neutral
Yes! RT @ettaqueen: Time to hire responsible contractors @AmericanAir @BostonLogan! #DignityAtLogan	neutral
@AmericanAir  She took care of us, feeling much better about the situation. Thanks for the response. :-)	positive
RT @spencerspellman: #Sunrise over #Ireland from up in the air on @AmericanAir for today's Irish-themed #FriFotos http://t.co/gYF3N5vegb	neutral
@SportsSturm @AmericanAir Hey, Harrison Ford's plane!	neutral
RT @wallabycard: .@AmericanAir &amp; @USAirways loyalty program merging within 30 days via @TodayInTheSky @USATODAY http://t.co/W7cMaGa8A5 http…	neutral
American Airlines early effort. @AmericanAir http://t.co/X5mnhLHgCN	neutral
@AmericanAir    Flight 3101 from Chicago to OKC. We have been stuck on the runway for 1 hour.  End this nightmare	negative
#Sunrise over #Ireland from up in the air on @AmericanAir for today's Irish-themed #FriFotos http://t.co/gYF3N5vegb	neutral
.@AmericanAir, people like 2 spend their weekends @ home, not flying around the country chasing your blown connections due to faulty planes	negative
@AmericanAir  I'm talking to them now	neutral
@USAirways @AmericanAir Help! I'm stuck in limbo. Been holding for an hour after getting cut off in the middle of a booking.	negative
Sooooo, are you guys gonna do anything to get my bag back? @AmericanAir!	negative
My track record with @AmericanAir is horrific. This is a direct flights, so they can't screw it up... Right? @WhitLoeb @mychhu @NeilGAllen	negative
@AmericanAir Ugh! Stuck on hold for 1:55 . Was told I would be on hold for 13-45 minutes. What's the problem, AA?	negative
@AmericanAir 16YUN52 - I should have “Gold” status but its not showing. Am I missing something?	negative
.@AmericanAir fix your planes and keep them fixed! 3 rerouted planes in one week is unacceptable! This is why I fly #southwest	negative
@AmericanAir just giving notice of a problem, I am not looking for anything more than that.	negative
@AmericanAir @britishairways I can find my reservation but cannot checkin online or mobile. #sos	neutral
@BoeingAirplanes @AmericanAir enjoyed flying on your new 2015 737-800's this week http://t.co/4zx6TSUkSc	positive
@AmericanAir clearly you don't know your own system. If it was that easy I wouldn't have wasted the last 3.5hrs of my life	negative
@AmericanAir i wish you would have notified me my miles were about to expire. Cannot pay $200 to have them reinstated	negative
.@AmericanAir &amp; @USAirways loyalty program merging within 30 days via @TodayInTheSky @USATODAY http://t.co/W7cMaGa8A5 http://t.co/j3koRcfh2K	neutral
@AmericanAir that and $25 a bag will get my kids clothes to Florida.	neutral
@AmericanAir but you misunderstand. I don't care about a delay as you thankfully have  @RealFoodDaily in your terminal. No worries!	positive
Fly @AmericanAir exclusively for benefits of status. Yet AA hit me w/ bag fees for my kids because we aren't on same return next week. #weak	negative
WE DEMAND ANSWERS @AmericanAir RT “@racheljenna1: How do they make the hollow ice cubes on airplanes?”	negative
@AmericanAir was just delayed again! Most disappointing flight &amp; customer experience #SXSWedu	negative
Baby blanket crisis - Day 6. Left on @AmericanAir - the story here http://t.co/p02qbXUzPQ	negative
@AmericanAir @rubenmer5  Brilliant!! http://t.co/8xaLOwzLzJ	positive
#travel peep! anyone else hate reading the new @AmericanAir upgrade deal coming from @USAirways seems like it’s the shaft to me. #decisions	negative
@AmericanAir thank you	positive
@AmericanAir well, it just got delayed for the seventh time.	negative
@cbracy @AmericanAir I use that excuse at home &amp; it never works. Darling, it was God's will I ate all that fried chicken while drunk.	negative
@BairdHall @AmericanAir @espn Worth every penny. #BBN	positive
Hey @AmericanAir, you suck. Thanks for nothing today.	negative
@BoardingArea @garyleff @USAirways @AmericanAir will we be use to use vouchers on both?	neutral
RT @dfwtower: Photo of N557AN, an @AmericanAir MD-82 that was retired yesterday. http://t.co/9abl0MiceG #DFW #airlines	neutral
@AmericanAir I can't find the power outlets on this 737-8	negative
Tried to get @AmericanAir to pay SOME of $500 lost for cancel flights 3-6. 2 form resp later, they refuse. USAir takeover is NOT going well!	negative
RT @SparkleArtist: I am having a The Stranglers kinda day and this @CaseyNeistat video for @jcrew @AmericanAir is just the thinghttps://t…	negative
.@AmericanAir Having your ticketing agents tell people their delay is "god's will" is not particularly helpful.	negative
RT @mpowers3: The #2hrdelay is now almost a #4hrdelay Apparently new planes are hard to come by @AmericanAir #readytogohome #dtk12chat	negative
The lime is aboard @USAirways / @AmericanAir 2157. http://t.co/LesMT6QCgC	neutral
@AmericanAir one hour on hold to change my flight! What is going on?	negative
@AmericanAir we been sitting at the gate for hour in half wow this is crazy	negative
Thank you @AmericanAir for losing my bag on my connecting flight! You had ONE job! Wow.	negative
Great way to treat loyal customers @AmericanAir.  Family bags are free unless you have a different record locator. Then its full price.	negative
@AmericanAir #flight364toLGA 1 hour delayed? Seriously? 1 HOUR! Unbelievable	negative
RT @djserafin: #RT if you have experienced @AmericanAir lack of customer service. They need to know this.	negative
RT @AmericanAir: @katy_ueno Katy, we're glad you're liking our charging ports on the plane. Sit back, relax, and enjoy the ride.	positive
@AmericanAir. So pleased you are at BHX, so difficult to get back from MCO via JFK. Too long connection at JKF!!!	negative
